# Very sad and slow, but correct
2023-12-05 02:16:35,222 [INFO] [Part 1] Min Location: {'seed': 924423181, 'soil': 823120847, 'fertilizer': 2344715033, 'water': 3347584984, 'light': 86660174, 'temperature': 86660174, 'humidity': 1078786873, 'location': 424490994}
2023-12-05 02:16:35,222 [INFO] SEEDS: 3943078016 -> 4101444401
2023-12-05 03:02:52,734 [INFO] SEEDS: 481035699 -> 584945468
2023-12-05 03:37:41,069 [INFO] SEEDS: 3553279107 -> 3568930337
2023-12-05 03:42:03,178 [INFO] SEEDS: 3322093486 -> 3511695452
2023-12-05 04:45:12,125 [INFO] SEEDS: 2957349913 -> 3316828565
2023-12-05 06:46:12,217 [INFO] SEEDS: 924423181 -> 1615620679
2023-12-05 10:24:54,775 [INFO] SEEDS: 2578953067 -> 2606315697
2023-12-05 10:31:48,337 [INFO] SEEDS: 124747783 -> 232827037
2023-12-05 11:01:26,862 [INFO] SEEDS: 1992340665 -> 2429544487
2023-12-05 13:11:26,019 [INFO] SEEDS: 2681092979 -> 2791994610
2023-12-05 13:47:35,960 [INFO] [Part 2] Min Location: {'seed': 3177317589, 'soil': 3890794774, 'fertilizer': 1390384163, 'water': 443201040, 'light': 3108856434, 'temperature': 661160524, 'humidity': 918464319, 'location': 15290096}

